2022;1;27;14 ; Sábado               ; 1 ; ENERO            ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 26 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 27 ; ENERO           ; No         ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 28 ; ENERO           ; 197.700    ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 29 ; ENERO           ; 218.700    ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 30 ; ENERO           ; 271.200    ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 31 ; ENERO           ; 239.700    ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 1 ; FEBRERO          ; 271.200    ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 2 ; FEBRERO          ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 3 ; FEBRERO          ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 4 ; FEBRERO          ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 5 ; FEBRERO          ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 6 ; FEBRERO          ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 7 ; FEBRERO          ; 153.600    ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 8 ; FEBRERO          ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 9 ; FEBRERO          ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 10 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 11 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 12 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 13 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 14 ; FEBRERO         ; 187.200    ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 15 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 16 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 17 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 18 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 19 ; FEBRERO         ; 201.900    ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 20 ; FEBRERO         ; 185.200    ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 21 ; FEBRERO         ; 210.400    ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 22 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 23 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 24 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 25 ; FEBRERO         ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 26 ; FEBRERO         ; 201.900    ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 27 ; FEBRERO         ; 138.900    ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 28 ; FEBRERO         ; 143.100    ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 1 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 2 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 3 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Viernes              ; 4 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Sábado               ; 5 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Domingo              ; 6 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Lunes                ; 7 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Martes               ; 8 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Miércoles            ; 9 ; MARZO            ; 124.920    ; MDE                  ; SMR  
2022;1;27;14 ; Jueves               ; 10 ; MARZO           ; 124.920    ; MDE                  ; SMR  
