Jueves;16 ; JUNIO;155.703;SMR;BOG
Viernes;17 ; JUNIO;155.703;SMR;BOG
Sábado;18 ; JUNIO;155.703;SMR;BOG
Domingo;19 ; JUNIO;155.703;SMR;BOG
Lunes;20 ; JUNIO;165.100;SMR;BOG
Martes;21 ; JUNIO;165.100;SMR;BOG
Miércoles;22 ; JUNIO;155.703;SMR;BOG
Jueves;23 ; JUNIO;155.703;SMR;BOG
Viernes;24 ; JUNIO;155.703;SMR;BOG
Sábado;25 ; JUNIO;155.703;SMR;BOG
Domingo;26 ; JUNIO;155.703;SMR;BOG
Lunes;27 ; JUNIO;354.200;SMR;BOG
Martes;28 ; JUNIO;165.100;SMR;BOG
Miércoles;29 ; JUNIO;155.703;SMR;BOG
Jueves;30 ; JUNIO;155.703;SMR;BOG
